Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21466504,"The non-specific binding of the indicated Sec61betaOPG variants to anti-PDI antibody-coated Protein A-Sepharose beads was subtracted from the results obtained using anti-TRC40 antibody-coated Protein A-Sepharose, and the resulting values were normalized to the amount of each Sec61betaOPG species present in the starting material (see Supplementary Figure S1 for a full worked example)."
Granulocyte-macrophage colony-stimulating factor,Interferon gamma,unknown,Granulocyte-macrophage colony-stimulating factor,Interferon gamma,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
Granulocyte-macrophage colony-stimulating factor,Interleukin-4,unknown,Granulocyte-macrophage colony-stimulating factor,Interleukin-4,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
Interferon gamma,Interleukin-4,unknown,Interferon gamma,Interleukin-4,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
Interferon gamma,Macrophage colony-stimulating factor 1,unknown,Interferon gamma,Macrophage colony-stimulating factor 1,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
Interleukin-4,Macrophage colony-stimulating factor 1,unknown,Interleukin-4,Macrophage colony-stimulating factor 1,25036362,"Human recombinant granulocyte-monocyte colony stimulating factor (GM-CSF), macrophage colony simulating factor, interferon gamma (IFN-gamma) and interleukin-4 were purchased from R&D System (Minneapolis, MN, USA)."
C-C motif chemokine 3,C-C motif chemokine 7,unknown,C-C motif chemokine 3,C-C motif chemokine 7,25036362,"All liquid chromatography solvents were from Fisher Scientific (Pittsburgh, PA, USA)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23558953,Studies of hematological diseases led to the identification of 3' gene fusions of FGFR1 in myeloproliferative disorder and 3' FGFR3 fusions in peripheral T-cell lymphoma and multiple myeloma.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26196125,These results also confirm that Nop2 belongs to the large family of pre-ribosomal protein and possesses two related functions: an rRNA modification activity and an essential role in pre-rRNA cleavage(s).
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26196125,These results corroborate the concept of quality control of ribosome synthesis by several modification enzymes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16636149,"These results not only suggest a specific role for the SphK1 isoenzyme but also strongly indicate that the activation of SphK1, rather than its baseline activity, is critical for the E2-induced EGFR transactivation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20083603,Results were expressed as the mean +/- SEM from three independent experiments; statistical significance was assessed using Student's t test.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,24355937,"Coordination of the activity of multiple small GTPases is required for the regulation of many physiological processes, including cell migration."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24355937,"Specifically, we identify the scaffolding protein IQGAP1 as a master regulator of multiple small GTPases, including Cdc42, Rac1, Rap1, and RhoA."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,19635840,"The combined fluorescence and EM studies show that knockdown of LPAAT3 results in the formation of Golgi mini-stacks, which did not colocalize with the ER protein PDI, or the ER exit site marker Sec24 (unpublished data)."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,23258412,We next purified the heat-resistant STING activator from L929 cell extracts using several chromatographic steps including a STING-Flag affinity purification step (fig.
Interleukin-10,Interleukin-2,activates,Interleukin-10,Interleukin-2,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-10,Interleukin-27,activates,Interleukin-10,Interleukin-27,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-10,Interleukin-6,activates,Interleukin-10,Interleukin-6,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-2,Interleukin-27,activates,Interleukin-2,Interleukin-27,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-2,Interleukin-6,activates,Interleukin-2,Interleukin-6,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-27,Interleukin-6,activates,Interleukin-27,Interleukin-6,21057510,"Since IL-27p28 can antagonize the ability of IL-6 to promote TH17 differentiation or IL-10 production, we initially hypothesized that IL-27p28 alone could act in a manner analogous to IL-27 and induce STAT signaling to mediate these effects."
Interleukin-2,Interleukin-27,activates,Interleukin-2,Interleukin-27,21057510,"As IL-6 and IL-27 primarily activate STAT1 and STAT3, the ability of IL-27p28 to induce phosphorylation of these proteins in CD4+ T cells was assessed."
Interleukin-2,Interleukin-6,activates,Interleukin-2,Interleukin-6,21057510,"As IL-6 and IL-27 primarily activate STAT1 and STAT3, the ability of IL-27p28 to induce phosphorylation of these proteins in CD4+ T cells was assessed."
Interleukin-27,Interleukin-6,activates,Interleukin-27,Interleukin-6,21057510,"As IL-6 and IL-27 primarily activate STAT1 and STAT3, the ability of IL-27p28 to induce phosphorylation of these proteins in CD4+ T cells was assessed."
Interleukin-2,Interleukin-27,activates,Interleukin-2,Interleukin-27,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-2,Interleukin-6,activates,Interleukin-2,Interleukin-6,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-2,Lymphotoxin-alpha,activates,Interleukin-2,Lymphotoxin-alpha,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-27,Interleukin-6,activates,Interleukin-27,Interleukin-6,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-27,Lymphotoxin-alpha,activates,Interleukin-27,Lymphotoxin-alpha,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-6,Lymphotoxin-alpha,activates,Interleukin-6,Lymphotoxin-alpha,21057510,"A 15-minute incubation with IL-6 or IL-27 resulted in phosphorylation of STAT1 and STAT3, while IL-27p28 alone did not induce STAT phosphorylation (Fig."
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-2,Interleukin-6,unknown,Interleukin-2,Interleukin-6,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-27,Interleukin-6,unknown,Interleukin-27,Interleukin-6,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-27,Lymphotoxin-alpha,unknown,Interleukin-27,Lymphotoxin-alpha,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-6,Lymphotoxin-alpha,unknown,Interleukin-6,Lymphotoxin-alpha,21057510,"As IL-6 and IL-27 signal through gp130, an alternative explanation for the inhibitory effects of IL-27p28 is competition with IL-6 for binding to gp130."
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,"Therefore, the induction of STAT1 and STAT3 phosphorylation by IL-6 in the presence of IL-27p28 was tested."
Interleukin-2,Interleukin-6,unknown,Interleukin-2,Interleukin-6,21057510,"Therefore, the induction of STAT1 and STAT3 phosphorylation by IL-6 in the presence of IL-27p28 was tested."
Interleukin-27,Interleukin-6,unknown,Interleukin-27,Interleukin-6,21057510,"Therefore, the induction of STAT1 and STAT3 phosphorylation by IL-6 in the presence of IL-27p28 was tested."
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,A similar result was observed when IL-27p28 was incubated with IL-27 (Fig.
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,21057510,A similar result was observed when IL-27p28 was incubated with IL-27 (Fig.
Interleukin-27,Lymphotoxin-alpha,unknown,Interleukin-27,Lymphotoxin-alpha,21057510,A similar result was observed when IL-27p28 was incubated with IL-27 (Fig.
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,This effect was dose dependent and typically required a 5- to 50-fold excess of IL-27p28 (Supplementary Fig.
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,"Furthermore, phosphorylation of STAT3 by IL-11, a cytokine that utilizes gp130, but not IL-6Ralpha or IL-27Ralpha for signaling, was also reduced by addition of IL-27p28 (Supplementary Fig."
Interleukin-2,Interleukin-6,unknown,Interleukin-2,Interleukin-6,21057510,"Furthermore, phosphorylation of STAT3 by IL-11, a cytokine that utilizes gp130, but not IL-6Ralpha or IL-27Ralpha for signaling, was also reduced by addition of IL-27p28 (Supplementary Fig."
Interleukin-27,Interleukin-6,unknown,Interleukin-27,Interleukin-6,21057510,"Furthermore, phosphorylation of STAT3 by IL-11, a cytokine that utilizes gp130, but not IL-6Ralpha or IL-27Ralpha for signaling, was also reduced by addition of IL-27p28 (Supplementary Fig."
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,"Moreover, when CD4+ T cells were incubated with hyper-IL-6, a fusion protein consisting of human IL-6 and sIL-6Ralpha that can signal in trans through gp130 (ref.), phosphorylation of STAT1 and STAT3 occurred and this signaling was antagonized by inclusion of IL-27p28 (Fig."
Interleukin-2,Interleukin-6,unknown,Interleukin-2,Interleukin-6,21057510,"Moreover, when CD4+ T cells were incubated with hyper-IL-6, a fusion protein consisting of human IL-6 and sIL-6Ralpha that can signal in trans through gp130 (ref.), phosphorylation of STAT1 and STAT3 occurred and this signaling was antagonized by inclusion of IL-27p28 (Fig."
Interleukin-27,Interleukin-6,unknown,Interleukin-27,Interleukin-6,21057510,"Moreover, when CD4+ T cells were incubated with hyper-IL-6, a fusion protein consisting of human IL-6 and sIL-6Ralpha that can signal in trans through gp130 (ref.), phosphorylation of STAT1 and STAT3 occurred and this signaling was antagonized by inclusion of IL-27p28 (Fig."
Interleukin-2,Interleukin-27,unknown,Interleukin-2,Interleukin-27,21057510,"It should be noted that the ability of IL-12, which does not signal through gp130, to phosphorylate STAT4 was not blocked by IL-27p28 (Supplementary Fig."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,19194512,"This also raises the possibility that the release of bound iron from Dre2 might be affected by its interaction with Tah18, resulting in an increased production of hydroxyl radicals via the Fenton reaction."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,16103228,"2, these results suggest that the 5- and 4-Pases interact in a GTP-dependent manner, directly and specifically with Rab5 both in vitro and in vivo."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20023638,"Taking these results together, we suggest that the PHF8 and KIAA1718 jumonji domains on their own are promiscuous enzymes; it is the associated PHDs and the linker--a determinant for the relative positioning of the two domains--that are mainly responsible for substrate specificity."
C-C motif chemokine 7,Interleukin-4,regulates,C-C motif chemokine 7,Interleukin-4,23593269,"In addition to contributing to the regulation of IL-4 in T cells, our results suggest that Fyn also regulates antibody production in a B cell-intrinsic manner, as Fyn-deficient B cells showed defective antibody production following in vitro stimulation."
C-C motif chemokine 7,Lymphotoxin-alpha,regulates,C-C motif chemokine 7,Lymphotoxin-alpha,23593269,"In addition to contributing to the regulation of IL-4 in T cells, our results suggest that Fyn also regulates antibody production in a B cell-intrinsic manner, as Fyn-deficient B cells showed defective antibody production following in vitro stimulation."
Interleukin-4,Lymphotoxin-alpha,regulates,Interleukin-4,Lymphotoxin-alpha,23593269,"In addition to contributing to the regulation of IL-4 in T cells, our results suggest that Fyn also regulates antibody production in a B cell-intrinsic manner, as Fyn-deficient B cells showed defective antibody production following in vitro stimulation."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22764087,"reported that PAR1, a G protein-coupled receptor, is trafficked to lysosomes via multivesicular bodies."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,18426980,"Despite the potential involvement of other GEFs in these signaling pathways, our results hint at the possible role for Dock7 in Schwann cell migration and provide the rationale and impetus for the subsequent experiments."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,27556486,The effect might be the result of down-regulation of MMPs.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21220512,These results suggest that ORP5 knockdown affects trafficking events through early and late but probably not recycling endosomes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21220512,The trafficking defects could likely result from the accumulation of LDL-C in endosomal compartments in the absence of ORP5.
C-C motif chemokine 7,Lymphotoxin-alpha,activates,C-C motif chemokine 7,Lymphotoxin-alpha,20178789,"Clustering of voltage-gated Ca2+ channels in a membrane domain in which BKCa channels are co-localized could provide a mechanism for focal increases in Ca2+, conceivably of significant magnitude to stimulate BKCa opening."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,19223390,"5A-D), although the region that exhibits the columnar morphology characteristic of floor plate appears to be unaltered."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,22863804,Adipose-specific knockout of PPARgamma in mice has yielded conflicting results: one group reported lipodystrophy and insulin resistance while another found enhanced insulin sensitivity.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22863804,Adipose-specific knockout of PPARgamma in mice has yielded conflicting results: one group reported lipodystrophy and insulin resistance while another found enhanced insulin sensitivity.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,22863804,Adipose-specific knockout of PPARgamma in mice has yielded conflicting results: one group reported lipodystrophy and insulin resistance while another found enhanced insulin sensitivity.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22863804,"A Pro12Ala PPARgamma mutation in mice and humans decreases (but does not abolish) PPARgamma transcriptional activity and results in decreased adiposity and increased insulin sensitivity, although this mutation is not adipose-specific."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,25772240,"Therefore, since KO of Tcfap2c alters the development of luminal MMEC, the increased latency observed with loss of Tcfap2c might be due to a reduction or functional inhibition of the LP population."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,25772240,Additional investigations into the role of Tcfap2c in the mammary stem cell population will be needed to clarify alternate mechanisms through which TFAP2C may influence oncogenesis.
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,23825189,"Because USP18 deficiency potentiated activation of molecules such as IKK, JNK, and NFAT distal from TCR, but not TCR-proximal signaling complex ZAP70 or PLC-gamma, we reasoned that USP18 might target some key molecules in between the proximal and distal signaling complexes, of which TAK1 is a promising candidate."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23825189,Results from the in vitro kinase assay indicated that the kinase activity of TAK1 was significantly increased in USP18KO cells compared with WT cells stimulated with anti-CD3/CD28 (Fig.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16855289,"Likewise, the PBD of DNA methyltransferase 1 (Dnmt1) is also necessary and sufficient for accumulation of Dnmt1 at repair sites."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15950904,"These compounds show some specificity for HDM2 in vitro, although at higher concentrations effects on unrelated RING and HECT domain E3s are detectable, which could be due, at least in part, to effects on E2-ubiquitin thiol-ester levels."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17105346,"The results indicate that PCNA ubiquitination has not only preserved its role for DNA repair from yeast to higher eukaryotes, but has been exploited additionally for Ig diversification in vertebrate B cells."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17105346,"It is currently difficult to assert the role of the PCNA SUMOylation, because the Srs2 protein, which is recruited by SUMOylated PCNA in S."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,21383079,"As expected, expression of FLAG-tagged Rab33B (FLAG-Rab33B) or Rab33B-QL (i.e., a GTPase-deficient mutant; FLAG-Rab33B-QL) increased both the LC3-II level (Fig."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,21383079,"6 A), most of the LC3-positive dots in the cytoplasm of FLAG-Rab33-QL-expressing cells appeared to be colocalized with Lamp-1, especially when viewed under low magnification (Fig."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,23171796,"Similarly, an NF1 mutation might be expected to function as an alternative mechanism of activating KRAS, and also potentiate the effects of these BRAF mutants."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23622243,"Together, these results suggest that H3K36me3 recruits hMutSalpha to chromatin in vivo before and during early S phase, which could increase the efficiency of MMR in actively replicating chromatin."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,25463393,"However, this genomic instability does not solely result from reduced Exo1 function, because single base mutator effects are seen in both Exo1-proficient and Exo1-deficient pol3-L612M swr1Delta strains."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19289088,Data have been presented showing two significant differences between mesenchymal and epithelial cultures.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,25219551,"Overexpression studies with the two splice variants of the fly RalGEF suggest that one alternative isoform, differing in N-terminal sequence, harbors Ral-independent functions."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,25219551,"However, these results are also consistent with Rap1 functioning in parallel, and illustrate the potential complexities of dominant-negative mutations as experimental tools for small GTPases, as well as the difficulties of analyzing the functions of essential genes in vivo."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,22593209,"For gene replacement, mRtel1 might be required to resolve a recombination intermediate, resulting in a decreased recombination efficiency in the absence of mRtel1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22593209,"For gene replacement, mRtel1 might be required to resolve a recombination intermediate, resulting in a decreased recombination efficiency in the absence of mRtel1."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,22593209,"For gene replacement, mRtel1 might be required to resolve a recombination intermediate, resulting in a decreased recombination efficiency in the absence of mRtel1."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,22593209,"However, mRtel1 deficiency in the context of replication results in recombination intermediates processed into crossing overs."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19524513,Similar results were obtained with the murine fibrosarcoma L929 transfected with RIP3-specific siRNA (Fig.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,23622243,"As a positive control, MSI was also analyzed in hMSH6-deficient DLD-1 cells, and the results show new repeat species in 6 out of 15 (40%) subclones (Figure S3)."
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,Lowering of IL-7 concentration in the culture medium substantially induced the amounts of Foxo1 and Foxo3a proteins but not that of Foxo4 (Fig.
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,Reduced IL-7 signaling resulted in lower amounts of p-Akt and diminished phosphorylation of Foxo1 and Foxo3a (Fig.
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,"Given that Akt has been shown to phosphorylate Foxo proteins and promote their degradation via ubiquitination, these results suggest that IL-7R signaling promotes Foxo protein degradation in pre-B cells via the PI(3)K-Akt pathway."
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,"Consistent with this inhibitory mechanism, attenuation of IL-7 signaling resulted in increased Foxo1 DNA binding activity, its nuclear accumulation (Supplementary Fig."
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,"As shown previously, attenuation of IL-7 signaling in Irf4,8-/-pre-B cells resulted in the robust induction of Rag gene expression (ref."
Interleukin-7,Lymphotoxin-alpha,unknown,Interleukin-7,Lymphotoxin-alpha,22267219,"We note that knockdown of Foxo1 or Foxo3a also resulted in a defect in the ability of Irf4,8-/- pre-B cells to undergo cell-cycle arrest upon the attenuation of IL-7 signaling (Supplementary Fig."
C-C motif chemokine 7,Interleukin-7,unknown,C-C motif chemokine 7,Interleukin-7,22267219,Thus we propose that efficient pre-B cell differentiation is contingent on induction of Foxo transcription factors via attenuation of IL-7R and PI(3)K-Akt signaling and the upregulation of IRF-4 via the pre-BCR.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15140260,"We have been able to knock down the expression of PLCdelta4 in PLCdelta4 overexpressing cells by transfecting siRNAs specific for PLCdelta4 sequences (Figure 10); however, no reduction in ErbB1 expression level and Erk1/2 phosphorylation in PLCdelta4 overexpressing cells in the presence of siRNA could be detected."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15140260,"These results suggest that PLCdelta4 per se may be a difficult target to be manipulated with drugs, and the sites for intervention may lie instead on other enzyme targets in pathways activated by PLCdelta4, such as the ErbB receptors and the Ras/Raf/MAP kinase cascade."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,10684251,"1998 showed that a kinase-deficient mammalian GSK-3 analogous to ours does not bind Axin in cell culture, and other workers have found that similar GSK-3 mutants do not act as dominant-negatives in the Wnt pathway in mammalian cells (Woodgett, J., personal communication)."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19479062,"Although TRAF6 is clearly involved in the RLH signaling pathway, inhibition of IFN production in response to RNA virus infection due to TRAF6 deficiency was partial in the present study, suggesting the presence of TRAF6-dependent and -independent pathways leading to IFN production."
C-C motif chemokine 7,Lymphotoxin-alpha,activates,C-C motif chemokine 7,Lymphotoxin-alpha,19479062,"These results strongly suggest that the TRAF6- and TRAF3-dependent pathways are likely to bifurcate at IPS-1, but to converge later at IRF7 in order to co-operatively induce sufficient production of type I IFNs during RLH signaling."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,"To reproduce the GM-CSF receptor signaling defect identified in this family, plasmids expressing CSF2RB and either CSF2RAG174R or CSF2RAWT were cotransfected into 293 cells."
Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,unknown,Granulocyte-macrophage colony-stimulating factor,Lymphotoxin-alpha,18955570,"Treatment of transduced cell lysates with Peptide: N-Glycosidase F, an amidase that cleaves between the innermost GlcNAc and asparagine residues of high mannose oligosaccharides, resulted in a similar electrophoretic pattern for normal and G174R GM-CSF-Ralpha."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,"Treatment of transduced cell lysates with Peptide: N-Glycosidase F, an amidase that cleaves between the innermost GlcNAc and asparagine residues of high mannose oligosaccharides, resulted in a similar electrophoretic pattern for normal and G174R GM-CSF-Ralpha."
Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,unknown,Lymphotoxin-alpha,Macrophage colony-stimulating factor 1,18955570,"Treatment of transduced cell lysates with Peptide: N-Glycosidase F, an amidase that cleaves between the innermost GlcNAc and asparagine residues of high mannose oligosaccharides, resulted in a similar electrophoretic pattern for normal and G174R GM-CSF-Ralpha."
Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,unknown,Granulocyte-macrophage colony-stimulating factor,Macrophage colony-stimulating factor 1,18955570,GM-CSF-Rbeta was expressed in CSF2RB-transfected cells but was undetectable in nontransfected cells (unpublished data).
